x,y
"tensor(0.0184, device='cuda:0')",nan
"tensor(0.0198, device='cuda:0')",88.2
"tensor(0.0205, device='cuda:0')",90.0
"tensor(0.0201, device='cuda:0')",90.60000000000001
"tensor(0.0208, device='cuda:0')",90.5
"tensor(0.0210, device='cuda:0')",90.8
"tensor(0.0214, device='cuda:0')",90.65
"tensor(0.0220, device='cuda:0')",90.60000000000001
"tensor(0.0217, device='cuda:0')",91.0
"tensor(0.0219, device='cuda:0')",90.75
"tensor(0.0215, device='cuda:0')",91.14999999999999
"tensor(0.0219, device='cuda:0')",91.0
"tensor(0.0217, device='cuda:0')",90.7
"tensor(0.0214, device='cuda:0')",90.55
"tensor(0.0216, device='cuda:0')",90.25
"tensor(0.0221, device='cuda:0')",89.60000000000001
"tensor(0.0220, device='cuda:0')",90.05
"tensor(0.0220, device='cuda:0')",89.4
"tensor(0.0220, device='cuda:0')",89.14999999999999
"tensor(0.0218, device='cuda:0')",88.7
"tensor(0.0219, device='cuda:0')",88.14999999999999
"tensor(0.0220, device='cuda:0')",88.2
"tensor(0.0221, device='cuda:0')",87.7
"tensor(0.0219, device='cuda:0')",88.0
"tensor(0.0220, device='cuda:0')",87.7
