x,y
"tensor(0.0440, device='cuda:0')",0.44999999999999996
"tensor(0.0440, device='cuda:0')",0.44999999999999996
"tensor(0.0479, device='cuda:0')",0.8
"tensor(0.0479, device='cuda:0')",0.8
"tensor(0.0487, device='cuda:0')",1.25
"tensor(0.0487, device='cuda:0')",1.25
"tensor(0.0476, device='cuda:0')",1.4500000000000002
"tensor(0.0476, device='cuda:0')",1.4500000000000002
"tensor(0.0492, device='cuda:0')",2.0
"tensor(0.0492, device='cuda:0')",2.0
"tensor(0.0489, device='cuda:0')",2.15
"tensor(0.0489, device='cuda:0')",2.15
"tensor(0.0505, device='cuda:0')",2.85
"tensor(0.0505, device='cuda:0')",2.85
"tensor(0.0518, device='cuda:0')",3.35
"tensor(0.0518, device='cuda:0')",3.35
"tensor(0.0506, device='cuda:0')",3.65
"tensor(0.0506, device='cuda:0')",3.65
"tensor(0.0510, device='cuda:0')",3.85
"tensor(0.0510, device='cuda:0')",3.85
"tensor(0.0502, device='cuda:0')",4.65
"tensor(0.0502, device='cuda:0')",4.65
"tensor(0.0513, device='cuda:0')",4.3
"tensor(0.0513, device='cuda:0')",4.3
"tensor(0.0509, device='cuda:0')",5.8999999999999995
"tensor(0.0509, device='cuda:0')",5.8999999999999995
"tensor(0.0500, device='cuda:0')",5.949999999999999
"tensor(0.0500, device='cuda:0')",5.949999999999999
"tensor(0.0503, device='cuda:0')",6.0
"tensor(0.0503, device='cuda:0')",6.0
"tensor(0.0514, device='cuda:0')",7.1
"tensor(0.0514, device='cuda:0')",7.1
"tensor(0.0508, device='cuda:0')",6.05
"tensor(0.0508, device='cuda:0')",6.05
"tensor(0.0508, device='cuda:0')",7.000000000000001
"tensor(0.0508, device='cuda:0')",7.000000000000001
"tensor(0.0510, device='cuda:0')",7.3999999999999995
"tensor(0.0510, device='cuda:0')",7.3999999999999995
"tensor(0.0506, device='cuda:0')",7.6499999999999995
"tensor(0.0506, device='cuda:0')",7.6499999999999995
"tensor(0.0507, device='cuda:0')",7.95
"tensor(0.0507, device='cuda:0')",7.95
"tensor(0.0512, device='cuda:0')",7.199999999999999
"tensor(0.0512, device='cuda:0')",7.199999999999999
"tensor(0.0511, device='cuda:0')",8.1
"tensor(0.0511, device='cuda:0')",8.1
"tensor(0.0509, device='cuda:0')",9.2
"tensor(0.0509, device='cuda:0')",9.2
"tensor(0.0508, device='cuda:0')",9.0
"tensor(0.0508, device='cuda:0')",9.0
