x,y
0,2.824132903382834
1,2.8470989930515573
2,2.8373972408226713
3,2.8268991435078386
4,2.828966205403089
5,2.80986673891122
6,2.835012510708097
7,2.824355190309339
8,2.847633071462406
9,2.8256301049004713
10,2.827782407251228
11,2.815162915409966
12,2.82719031871056
13,2.8055898754996718
14,2.819548926897436
15,2.8080337625870393
16,2.7971651543226645
17,2.8155354934521224
18,2.8093655324089086
19,2.798679863080532
20,2.8176518122780876
21,2.80733655749292
22,2.816239999530666
23,2.8135431200858836
24,2.842629726945091
