x,y
0,11.324606895446777
1,11.324488639831543
2,11.324490547180176
3,11.324551582336426
4,11.32460880279541
5,11.324661254882812
6,11.324727058410645
7,11.324806213378906
8,11.324857711791992
9,11.324925422668457
10,11.324978828430176
11,11.325041770935059
12,11.325096130371094
13,11.325142860412598
14,11.325200080871582
15,11.325233459472656
16,11.325289726257324
17,11.3253173828125
18,11.325348854064941
19,11.325379371643066
20,11.325408935546875
21,11.325448989868164
22,11.325471878051758
23,11.325523376464844
24,11.325536727905273
