x,y
"tensor(0.0104, device='cuda:0')",1.15
"tensor(0.0104, device='cuda:0')",2.0
"tensor(0.0104, device='cuda:0')",1.15
"tensor(0.0105, device='cuda:0')",1.0
"tensor(0.0104, device='cuda:0')",1.0
"tensor(0.0104, device='cuda:0')",1.15
"tensor(0.0104, device='cuda:0')",0.95
"tensor(0.0105, device='cuda:0')",1.15
"tensor(0.0104, device='cuda:0')",1.4500000000000002
"tensor(0.0105, device='cuda:0')",0.95
"tensor(0.0105, device='cuda:0')",1.15
"tensor(0.0104, device='cuda:0')",1.35
"tensor(0.0105, device='cuda:0')",1.4500000000000002
"tensor(0.0104, device='cuda:0')",1.35
"tensor(0.0105, device='cuda:0')",1.05
"tensor(0.0105, device='cuda:0')",1.25
"tensor(0.0106, device='cuda:0')",1.7000000000000002
"tensor(0.0105, device='cuda:0')",1.3
"tensor(0.0105, device='cuda:0')",1.35
"tensor(0.0105, device='cuda:0')",2.7
"tensor(0.0106, device='cuda:0')",1.3
"tensor(0.0105, device='cuda:0')",1.6500000000000001
"tensor(0.0106, device='cuda:0')",1.6
"tensor(0.0106, device='cuda:0')",1.7500000000000002
"tensor(0.0106, device='cuda:0')",1.4500000000000002
