x,y
0,"tensor(0.0957, device='cuda:0')"
1,"tensor(0.0964, device='cuda:0')"
2,"tensor(0.0960, device='cuda:0')"
3,"tensor(0.0947, device='cuda:0')"
4,"tensor(0.0974, device='cuda:0')"
5,"tensor(0.0966, device='cuda:0')"
6,"tensor(0.0953, device='cuda:0')"
7,"tensor(0.0966, device='cuda:0')"
8,"tensor(0.0956, device='cuda:0')"
9,"tensor(0.0968, device='cuda:0')"
10,"tensor(0.0967, device='cuda:0')"
11,"tensor(0.0970, device='cuda:0')"
12,"tensor(0.0969, device='cuda:0')"
13,"tensor(0.0968, device='cuda:0')"
14,"tensor(0.0986, device='cuda:0')"
15,"tensor(0.0989, device='cuda:0')"
16,"tensor(0.0965, device='cuda:0')"
17,"tensor(0.0975, device='cuda:0')"
18,"tensor(0.0977, device='cuda:0')"
19,"tensor(0.0968, device='cuda:0')"
20,"tensor(0.0974, device='cuda:0')"
21,"tensor(0.0982, device='cuda:0')"
22,"tensor(0.0964, device='cuda:0')"
23,"tensor(0.0969, device='cuda:0')"
24,"tensor(0.0966, device='cuda:0')"
