x,y
0,82.20938110351562
1,83.44422912597656
2,83.48480987548828
3,82.1690444946289
4,82.08474731445312
5,83.40982818603516
6,82.46696472167969
7,81.9517822265625
8,82.43589782714844
9,82.6551513671875
10,82.39022827148438
11,81.69893646240234
12,81.51751708984375
13,82.8814926147461
14,81.98409271240234
15,81.39239501953125
16,80.93128967285156
17,82.47952270507812
18,81.2509536743164
19,82.2497787475586
20,81.78894805908203
21,82.4974365234375
22,82.37593078613281
23,81.75453186035156
24,81.68030548095703
