x,y
"tensor(0.1123, device='cuda:0')",0.05
"tensor(0.1120, device='cuda:0')",0.2
"tensor(0.1075, device='cuda:0')",0.1
"tensor(0.1095, device='cuda:0')",0.15
"tensor(0.1109, device='cuda:0')",0.25
"tensor(0.1112, device='cuda:0')",0.35000000000000003
"tensor(0.1130, device='cuda:0')",0.15
"tensor(0.1136, device='cuda:0')",0.5
"tensor(0.1103, device='cuda:0')",0.5
"tensor(0.1133, device='cuda:0')",0.5
"tensor(0.1112, device='cuda:0')",0.2
"tensor(0.1147, device='cuda:0')",0.44999999999999996
"tensor(0.1152, device='cuda:0')",0.6
"tensor(0.1128, device='cuda:0')",0.44999999999999996
"tensor(0.1126, device='cuda:0')",0.4
"tensor(0.1161, device='cuda:0')",0.5
"tensor(0.1140, device='cuda:0')",0.8999999999999999
"tensor(0.1146, device='cuda:0')",0.6
"tensor(0.1169, device='cuda:0')",0.65
"tensor(0.1166, device='cuda:0')",1.2
"tensor(0.1173, device='cuda:0')",0.7000000000000001
"tensor(0.1179, device='cuda:0')",1.15
"tensor(0.1163, device='cuda:0')",0.8999999999999999
"tensor(0.1197, device='cuda:0')",0.95
"tensor(0.1143, device='cuda:0')",0.8
