x,y
"tensor(0.0056, device='cuda:0')",nan
"tensor(0.0058, device='cuda:0')",91.45
"tensor(0.0053, device='cuda:0')",90.60000000000001
"tensor(0.0055, device='cuda:0')",90.8
"tensor(0.0056, device='cuda:0')",90.55
"tensor(0.0056, device='cuda:0')",89.75
"tensor(0.0065, device='cuda:0')",90.05
"tensor(0.0054, device='cuda:0')",89.45
"tensor(0.0058, device='cuda:0')",89.14999999999999
"tensor(0.0054, device='cuda:0')",89.35
"tensor(0.0056, device='cuda:0')",88.25
"tensor(0.0053, device='cuda:0')",88.55
"tensor(0.0057, device='cuda:0')",88.6
"tensor(0.0053, device='cuda:0')",87.75
"tensor(0.0053, device='cuda:0')",87.85
"tensor(0.0051, device='cuda:0')",87.3
"tensor(0.0055, device='cuda:0')",87.85
"tensor(0.0054, device='cuda:0')",86.94999999999999
"tensor(0.0054, device='cuda:0')",86.5
"tensor(0.0052, device='cuda:0')",87.4
"tensor(0.0053, device='cuda:0')",86.85
"tensor(0.0051, device='cuda:0')",86.35
"tensor(0.0049, device='cuda:0')",85.65
"tensor(0.0051, device='cuda:0')",85.35000000000001
"tensor(0.0049, device='cuda:0')",86.14999999999999
