x,y
0,"tensor(0.1824, device='cuda:0')"
1,"tensor(0.2155, device='cuda:0')"
2,"tensor(0.2225, device='cuda:0')"
3,"tensor(0.2223, device='cuda:0')"
4,"tensor(0.2304, device='cuda:0')"
5,"tensor(0.2442, device='cuda:0')"
6,"tensor(0.2413, device='cuda:0')"
7,"tensor(0.2527, device='cuda:0')"
8,"tensor(0.2528, device='cuda:0')"
9,"tensor(0.2596, device='cuda:0')"
10,"tensor(0.2574, device='cuda:0')"
11,"tensor(0.2541, device='cuda:0')"
12,"tensor(0.2626, device='cuda:0')"
13,"tensor(0.2595, device='cuda:0')"
14,"tensor(0.2618, device='cuda:0')"
15,"tensor(0.2652, device='cuda:0')"
16,"tensor(0.2628, device='cuda:0')"
17,"tensor(0.2726, device='cuda:0')"
18,"tensor(0.2691, device='cuda:0')"
19,"tensor(0.2696, device='cuda:0')"
20,"tensor(0.2724, device='cuda:0')"
21,"tensor(0.2754, device='cuda:0')"
22,"tensor(0.2751, device='cuda:0')"
23,"tensor(0.2746, device='cuda:0')"
24,"tensor(0.2774, device='cuda:0')"
