x,y
0,"tensor(0.1643, device='cuda:0')"
1,"tensor(0.2011, device='cuda:0')"
2,"tensor(0.2117, device='cuda:0')"
3,"tensor(0.2100, device='cuda:0')"
4,"tensor(0.2187, device='cuda:0')"
5,"tensor(0.2328, device='cuda:0')"
6,"tensor(0.2320, device='cuda:0')"
7,"tensor(0.2431, device='cuda:0')"
8,"tensor(0.2442, device='cuda:0')"
9,"tensor(0.2518, device='cuda:0')"
10,"tensor(0.2485, device='cuda:0')"
11,"tensor(0.2461, device='cuda:0')"
12,"tensor(0.2558, device='cuda:0')"
13,"tensor(0.2515, device='cuda:0')"
14,"tensor(0.2550, device='cuda:0')"
15,"tensor(0.2583, device='cuda:0')"
16,"tensor(0.2562, device='cuda:0')"
17,"tensor(0.2670, device='cuda:0')"
18,"tensor(0.2636, device='cuda:0')"
19,"tensor(0.2644, device='cuda:0')"
20,"tensor(0.2671, device='cuda:0')"
21,"tensor(0.2701, device='cuda:0')"
22,"tensor(0.2702, device='cuda:0')"
23,"tensor(0.2701, device='cuda:0')"
24,"tensor(0.2731, device='cuda:0')"
