x,y
0,1.15
0,1.15
1,2.0
1,2.0
2,1.15
2,1.15
3,1.0
3,1.0
4,1.0
4,1.0
5,1.15
5,1.15
6,0.95
6,0.95
7,1.15
7,1.15
8,1.4500000000000002
8,1.4500000000000002
9,0.95
9,0.95
10,1.15
10,1.15
11,1.35
11,1.35
12,1.4500000000000002
12,1.4500000000000002
13,1.35
13,1.35
14,1.05
14,1.05
15,1.25
15,1.25
16,1.7000000000000002
16,1.7000000000000002
17,1.3
17,1.3
18,1.35
18,1.35
19,2.7
19,2.7
20,1.3
20,1.3
21,1.6500000000000001
21,1.6500000000000001
22,1.6
22,1.6
23,1.7500000000000002
23,1.7500000000000002
24,1.4500000000000002
24,1.4500000000000002
