x,y
0,"tensor([-0.3562, -0.0978, -0.3107,  ...,  0.0857, -0.4259,  0.5503])"
1,"tensor([-0.4628, -0.0222, -0.1348,  ...,  0.3458, -0.2371,  0.5980])"
2,"tensor([-0.4930, -0.3027, -0.4811,  ...,  0.4231, -0.3129,  0.5656])"
3,"tensor([-0.5049, -0.1527, -0.6091,  ...,  0.4321, -0.2517,  0.5508])"
4,"tensor([-0.5572, -0.2033, -0.4147,  ...,  0.3719, -0.2098,  0.5826])"
5,"tensor([-0.5603, -0.1418, -0.5109,  ...,  0.3949, -0.2180,  0.5564])"
6,"tensor([-0.5822, -0.2370, -0.5580,  ...,  0.2727, -0.0028,  0.5610])"
7,"tensor([-0.6199, -0.1772, -0.4699,  ...,  0.3703, -0.1871,  0.5817])"
8,"tensor([-0.6411, -0.1470, -0.4588,  ...,  0.4479, -0.1337,  0.5232])"
9,"tensor([-0.6549, -0.1865, -0.6405,  ...,  0.4363, -0.0893,  0.5313])"
10,"tensor([-0.6238, -0.0990, -0.6210,  ...,  0.4362,  0.0368,  0.6123])"
11,"tensor([-0.5909, -0.0892, -0.5160,  ...,  0.4920, -0.1330,  0.5816])"
12,"tensor([-0.5909, -0.2493, -0.5402,  ...,  0.5205, -0.0534,  0.5756])"
13,"tensor([-0.6524, -0.1634, -0.5272,  ...,  0.5409,  0.0381,  0.5895])"
14,"tensor([-0.7102, -0.1791, -0.6514,  ...,  0.5062, -0.0556,  0.6401])"
15,"tensor([-0.6530, -0.3381, -0.6506,  ...,  0.4996, -0.0258,  0.5973])"
16,"tensor([-0.5912, -0.2042, -0.5320,  ...,  0.5491, -0.0050,  0.5701])"
17,"tensor([-0.5993, -0.2757, -0.6383,  ...,  0.5960, -0.0081,  0.5949])"
18,"tensor([-0.6122, -0.2188, -0.5256,  ...,  0.5579,  0.0321,  0.6002])"
19,"tensor([-0.6160, -0.1594, -0.5482,  ...,  0.5815,  0.0178,  0.5662])"
20,"tensor([-0.6502, -0.1488, -0.6415,  ...,  0.6012,  0.0348,  0.5696])"
21,"tensor([-0.6082, -0.2083, -0.5383,  ...,  0.5786,  0.2039,  0.5975])"
22,"tensor([-0.6393, -0.2440, -0.4798,  ...,  0.6057,  0.2022,  0.5727])"
23,"tensor([-0.6727, -0.3002, -0.5777,  ...,  0.5934,  0.1357,  0.6119])"
24,"tensor([-0.6545, -0.2558, -0.4712,  ...,  0.5587,  0.1974,  0.5824])"
