x,y
177.7734375,0
179.25094604492188,1
180.59474182128906,2
177.61599731445312,3
176.53530883789062,4
178.33868408203125,5
177.14508056640625,6
179.15603637695312,7
180.47396850585938,8
177.5433807373047,9
179.1332244873047,10
179.75758361816406,11
178.5778045654297,12
177.53506469726562,13
179.22494506835938,14
177.22784423828125,15
180.6582489013672,16
178.265625,17
175.50042724609375,18
178.0732879638672,19
177.56228637695312,20
176.65805053710938,21
179.791748046875,22
178.8853302001953,23
180.6910858154297,24
