_step,"Task_0, accuracy"
0,11.65
0,9.55
1,22.5
1,24.15
2,34.3
2,37.55
3,44.55
3,41.65
4,45.75
4,49.15
5,52.0
5,49.8
6,53.35
6,54.65
7,57.65
7,56.05
8,56.95
8,58.2
9,59.65
9,58.9
10,61.05
10,62.3
11,63.25
11,62.1
12,61.4
12,64.2
13,64.9
13,63.3
14,64.85
14,64.1
15,65.35
15,66.6
16,67.05
16,66.75
17,68.4
17,67.5
18,68.3
18,68.9
19,67.55
19,67.45
20,67.95
20,69.4
21,69.5
21,69.65
22,68.9
22,70.55
23,70.35
23,69.05
24,69.4
24,70.15
25,71.4
25,70.15
26,71.05
26,69.55
27,71.0
27,71.1
28,71.15
28,70.75
29,71.05
29,73.2
30,72.1
30,72.3
31,71.85
31,72.65
32,73.05
32,72.3
33,73.05
33,71.7
34,73.2
34,72.6
35,72.7
35,72.3
36,71.95
36,73.8
37,72.95
37,73.25
38,72.55
38,73.5
39,73.35
39,73.25
40,74.75
40,74.6
41,74.9
41,71.95
42,74.15
42,74.45
43,74.6
43,73.2
44,74.6
44,74.15
45,75.15
45,73.7
46,74.85
46,73.7
47,75.85
47,74.6
48,75.95
48,74.55
49,75.4
49,74.4
50,75.4
50,74.15
51,75.65
51,75.1
52,75.1
52,75.25
53,75.4
53,75.9
54,75.75
54,75.85
55,75.6
55,74.7
56,75.1
56,76.0
57,76.25
57,75.7
58,74.6
58,75.85
59,77.55
59,75.15
60,76.15
60,75.9
61,76.05
61,76.4
62,76.15
62,77.65
63,77.1
63,75.6
64,78.25
64,75.9
65,75.25
65,77.5
66,77.65
66,76.7
67,75.6
67,76.2
68,76.65
68,77.35
69,76.1
69,77.3
70,76.9
70,76.05
71,75.65
71,77.3
72,77.4
72,75.35
73,76.55
73,76.65
74,77.25
74,76.75
75,75.6
75,76.75
76,77.0
76,76.55
77,76.9
77,75.35
78,77.4
78,75.7
79,76.8
79,77.6
80,75.8
80,76.6
81,76.35
81,77.1
82,76.7
82,76.15
83,78.2
83,75.6
84,76.0
84,78.25
85,77.25
85,76.95
86,76.65
86,78.4
87,76.2
87,76.7
88,77.55
88,76.55
89,76.75
89,74.55
90,76.25
90,77.45
91,77.9
91,78.75
92,76.0
92,78.85
93,77.95
93,77.75
94,76.6
94,76.55
95,76.1
95,76.65
96,77.0
96,77.6
97,78.55
97,76.95
98,76.55
98,78.0
99,78.5
99,74.8
