_step,ours,finetune,lwf,ewc,icarl
300,31.88,18.98,33.75,21.66,49.35
301,32.33,20.95,36.33,20.46,51.51
302,32.3,21.16,37.91,19.96,53.04
303,32.17,21.8,38.58,19.02,52.11
304,32.67,20.88,38.94,19.05,52.86
305,32.26,21.18,39.02,18.81,53.06
306,32.1,20.7,38.24,19.06,53.72
307,31.94,20.68,38.28,19.15,53.09
308,31.6,20.14,38.49,19.51,53.81
309,32.6,20.42,38.62,19.65,53.01
310,31.65,19.24,38.28,19.66,53.28
311,32.5,19.69,37.92,20.46,53.58
312,32.46,19.55,38.14,20.54,53.66
313,32.3,19.14,37.49,21.42,54.35
314,32.76,19.56,37.85,21.44,53.45
315,32.6,19.54,37.75,21.58,53.15
316,32.54,19.2,37.81,21.64,53.41
317,33.64,19.29,37.33,22.19,53.42
318,33.08,19.04,36.59,22.52,53.8
319,33.31,19.26,37.09,22.88,53.15
320,33.99,18.6,36.78,22.12,53.69
321,34.14,18.65,37.61,22.95,53.46
322,34.29,18.95,36.76,23.36,53.49
323,34.16,18.7,37.51,23.4,53.49
324,34.94,18.81,36.52,23.81,53.5
325,35.02,19.12,37.06,24.25,53.11
326,35.05,19.01,36.06,23.79,53.58
327,34.65,19.0,36.75,23.91,53.51
328,35.48,18.59,37.24,23.79,53.69
329,34.51,18.96,36.69,24.21,53.79
330,35.29,18.91,37.56,23.88,53.44
331,35.6,19.02,36.78,24.2,54.39
332,36.36,18.98,36.12,24.4,54.74
333,36.0,19.12,36.2,24.16,54.09
334,36.46,19.02,36.25,24.01,53.16
335,36.41,19.14,36.46,24.3,54.01
336,36.61,18.76,36.15,24.7,52.66
337,36.83,18.64,36.51,24.02,54.19
338,36.9,18.96,35.84,23.89,53.71
339,37.31,19.2,36.2,24.1,53.55
340,37.8,18.94,35.64,24.36,53.02
341,36.33,19.04,36.4,23.55,53.46
342,36.85,19.38,36.46,24.24,53.35
343,36.99,18.88,36.8,24.56,53.72
344,38.08,19.3,36.01,24.11,54.52
345,37.33,19.18,36.1,23.96,53.65
346,37.74,19.0,36.17,24.12,54.22
347,37.42,18.85,36.49,23.66,53.26
348,36.65,19.2,36.42,23.94,53.0
349,37.38,19.0,36.75,24.25,54.62
350,38.65,19.32,36.69,23.81,53.48
351,37.52,19.0,36.09,24.21,53.84
352,37.95,19.39,36.71,24.05,53.94
353,37.61,19.27,36.45,23.91,54.66
354,38.17,19.0,35.69,24.32,53.29
355,36.8,19.27,37.36,24.16,54.32
356,37.86,19.02,35.86,23.98,52.64
357,38.24,19.35,36.8,24.05,53.76
358,38.38,19.19,36.61,23.76,53.16
359,37.4,19.08,36.46,23.46,54.45
360,37.66,19.56,36.54,23.64,53.86
361,37.06,19.45,36.25,23.85,53.81
362,38.39,19.31,36.6,23.78,54.3
363,37.8,19.36,37.28,23.58,54.19
364,37.29,19.25,36.28,23.55,53.1
365,38.21,19.09,36.72,23.68,54.31
366,37.95,19.48,36.99,23.66,53.78
367,37.7,19.27,36.79,23.52,54.54
368,36.91,19.51,36.58,23.61,53.95
369,38.21,19.08,35.94,23.61,53.81
370,38.44,19.16,36.51,23.41,54.15
371,37.8,18.86,36.35,22.95,53.45
372,38.08,19.39,36.67,22.5,54.62
373,37.59,19.09,36.02,23.14,53.7
374,37.61,18.77,36.7,22.84,53.4
375,37.67,18.99,36.74,23.16,54.28
376,37.71,19.66,37.04,23.31,53.76
377,37.79,19.12,36.5,23.38,53.74
378,37.9,19.34,36.09,23.5,53.61
379,37.62,19.38,37.02,23.34,53.24
380,37.45,19.69,37.17,23.16,54.19
381,37.31,19.16,37.15,23.25,54.58
382,37.45,19.44,36.78,23.1,54.31
383,37.99,19.59,36.02,23.04,54.12
384,37.6,19.31,37.11,22.98,53.36
385,37.24,18.79,36.6,23.28,53.82
386,37.6,19.42,37.58,23.29,53.48
387,37.49,19.61,36.78,23.1,53.25
388,37.34,19.65,36.99,23.1,53.21
389,37.25,19.16,37.0,22.72,54.41
390,37.51,19.39,36.94,23.04,54.7
391,36.88,19.66,37.0,22.78,54.68
392,37.56,19.16,36.0,22.86,53.05
393,37.55,19.19,36.34,22.98,54.12
394,37.39,19.26,37.01,22.9,53.29
395,37.44,19.01,36.45,22.85,54.72
396,37.54,19.35,36.71,22.61,53.48
397,36.29,19.31,37.56,22.88,53.85
398,36.48,19.5,36.41,23.36,53.94
399,36.52,19.51,36.6,23.04,53.69
